type,time,exchange,competitor,odds,backer,layer,stake
Trade,52.778438091278076,0,3,23.368577199661136,52,50,15
Trade,52.80751585960388,0,3,17.849662925354416,52,54,15
Trade,52.85784554481506,0,3,23.368577199661136,52,50,15
Trade,52.889002084732056,0,3,23.368577199661136,52,50,15
Trade,52.94616746902466,0,3,23.368577199661136,52,50,15
Trade,52.977651596069336,0,3,23.368577199661136,52,50,15
Trade,53.013389587402344,0,3,23.368577199661136,52,50,15
Trade,53.0418701171875,0,3,23.368577199661136,52,50,15
Trade,53.09528613090515,0,3,23.368577199661136,52,50,15
Trade,53.1241512298584,0,3,17.849662925354416,52,54,15
Trade,53.15611672401428,0,3,23.36857719713045,52,50,15
Trade,53.18556523323059,0,3,17.849662925354416,52,54,15
Trade,53.21648287773132,0,3,23.513753635496293,52,50,15
Trade,53.25444173812866,0,3,17.849662925354416,52,54,15
Trade,53.28112816810608,0,3,17.849662923421395,52,54,15
Trade,53.30509400367737,0,3,12.001622734810137,52,51,15
Trade,53.36852478981018,0,3,12.001622734810137,52,51,15
Trade,53.4047110080719,0,3,17.960553307007583,52,54,15
Trade,53.48038959503174,0,3,12.001622734810137,52,51,15
Trade,53.58233189582825,0,3,10.142225780579784,52,53,15
Trade,53.68239140510559,0,3,10.142225780579784,52,53,15
Trade,53.72848343849182,0,3,4.4749030542259005,52,51,15
Trade,53.774651288986206,0,3,10.142225780579784,52,53,15
Trade,53.84525918960571,0,3,10.142225780579784,52,53,15
Trade,53.916877031326294,0,3,10.142225780579784,52,53,15
Trade,53.99300408363342,0,3,10.142225780579784,52,53,15
Trade,7.361272096633911,0,4,1.6818449235827786,50,29,15
Trade,7.378862142562866,0,4,1.7000000000000006,50,56,15
Trade,7.397797584533691,0,4,1.7000000000000006,50,20,15
Trade,7.416310787200928,0,4,1.7000000000000006,50,22,15
Trade,7.4301064014434814,0,4,1.7000000000000006,50,26,15
Trade,7.456384181976318,0,4,1.6951298355150217,50,55,15
Trade,8.378626585006714,0,4,1.2948247793884486,15,23,15
Trade,8.387956142425537,0,4,1.2000000000000002,16,24,15
Trade,8.421635389328003,0,4,1.1,10,27,15
Trade,8.423977136611938,0,4,1.1,16,54,15
Trade,8.478982925415039,0,4,1.1,15,56,15
Trade,8.482748031616211,0,4,1.1,16,55,15
Trade,8.60467791557312,0,4,1.1,10,56,15
Trade,8.637488842010498,0,4,1.1,16,55,15
Trade,8.734983921051025,0,4,1.1,15,56,15
Trade,8.780745267868042,0,4,1.1,10,55,15
Trade,8.85663366317749,0,4,1.1,16,56,15
Trade,8.919193029403687,0,4,1.1,15,55,15
Trade,9.027660846710205,0,4,1.1,10,56,15
Trade,9.028727531433105,0,4,1.1,16,55,15
Trade,9.222247123718262,0,4,1.1,15,55,15
Trade,9.233820676803589,0,4,1.1,10,56,15
Trade,9.374825716018677,0,4,1.1,16,56,15
Trade,9.422871351242065,0,4,1.1,15,55,15
Trade,10.847128868103027,0,4,1.1,10,55,15
Trade,10.906779289245605,0,4,1.1,11,56,15
Trade,11.12726378440857,0,4,1.1,16,55,15
Trade,11.142094850540161,0,4,1.1,15,56,15
Trade,11.37111210823059,0,4,1.1,14,55,15
Trade,11.388892650604248,0,4,1.1,12,56,15
Trade,11.545611381530762,0,4,1.1,19,55,15
Trade,12.569455623626709,0,4,1.1,56,25,15
Trade,12.570956945419312,0,4,1.3000000000000003,10,56,15
Trade,12.77476167678833,0,4,1.1,10,56,15
Trade,12.777743101119995,0,4,1.1,11,55,15
Trade,13.136439085006714,0,4,1.1,16,55,15
Trade,13.186310052871704,0,4,1.1,15,56,15
Trade,13.449609279632568,0,4,1.1,14,55,15
Trade,13.610889196395874,0,4,1.1,12,56,15
Trade,13.83377718925476,0,4,1.1,18,55,15
Trade,13.83699917793274,0,4,1.1,13,52,15
Trade,13.851281642913818,0,4,1.1,19,28,15
Trade,13.852904796600342,0,4,1.1,10,52,15
Trade,13.863871812820435,0,4,1.1,11,52,15
Trade,13.871671438217163,0,4,1.1,16,52,15
Trade,13.883599042892456,0,4,1.1,15,52,15
Trade,13.893690824508667,0,4,1.1,14,52,15
Trade,13.898623943328857,0,4,1.1,12,52,15
Trade,14.036417245864868,0,4,1.3000000000000003,37,56,15
Trade,14.625248670578003,0,4,1.1948247793884486,15,21,15
Trade,14.645841598510742,0,4,1.1,16,52,15
Trade,14.87748098373413,0,4,1.1,12,55,15
Trade,14.879345417022705,0,4,1.1,13,56,15
Trade,14.889829158782959,0,4,1.1,10,58,15
Trade,14.994952917098999,0,4,1.1,18,59,15
Trade,15.265472173690796,0,4,1.1,19,58,15
Trade,15.284266948699951,0,4,1.1,11,56,15
Trade,15.338947534561157,0,4,1.1,14,59,15
Trade,15.399659633636475,0,4,1.1,15,55,15
Trade,15.699390888214111,0,4,1.1,38,56,15
Trade,15.707395076751709,0,4,1.1,35,58,15
Trade,15.894624948501587,0,4,1.1,33,59,15
Trade,15.91956877708435,0,4,1.1,39,55,15
Trade,16.049761056900024,0,4,1.1,32,58,15
Trade,16.086997270584106,0,4,1.1,34,56,15
Trade,16.20674729347229,0,4,1.1,30,55,15
Trade,16.285510540008545,0,4,1.1,36,59,15
Trade,16.36367964744568,0,4,1.1,31,58,15
Trade,16.532644987106323,0,4,1.1,16,55,15
Trade,16.54070544242859,0,4,1.1,12,56,15
Trade,16.614242792129517,0,4,1.1,10,58,15
Trade,16.7440664768219,0,4,1.1,13,59,15
Trade,17.350548028945923,0,4,1.1,18,51,15
Trade,17.381853342056274,0,4,1.1,19,51,15
Trade,17.474451065063477,0,4,1.1,11,51,15
Trade,17.513928651809692,0,4,1.1,14,51,15
Trade,17.554657220840454,0,4,1.1,15,51,15
Trade,17.58910083770752,0,4,1.1,37,51,15
Trade,17.653156757354736,0,4,1.1,30,51,15
Trade,17.68394684791565,0,4,1.1,34,51,15
Trade,17.712819814682007,0,4,1.1,33,51,15
Trade,17.75338840484619,0,4,1.1,39,51,15
Trade,17.807801485061646,0,4,1.1,38,51,15
Trade,17.878822803497314,0,4,1.1,35,51,15
Trade,17.90557861328125,0,4,1.1,36,51,15
Trade,17.94727635383606,0,4,1.1,31,56,15
Trade,17.967190742492676,0,4,1.1,32,51,15
Trade,17.99259090423584,0,4,1.1,17,51,15
Trade,18.001696825027466,0,4,1.1,12,57,15
Trade,18.00373649597168,0,4,1.1,16,58,15
Trade,18.010122537612915,0,4,1.1,10,51,15
Trade,18.026117086410522,0,4,1.1,18,51,15
Trade,18.053956270217896,0,4,1.1,13,59,15
Trade,18.066202640533447,0,4,1.1,19,55,15
Trade,18.08866858482361,0,4,1.1,11,51,15
Trade,18.121312379837036,0,4,1.1,14,51,15
Trade,18.14812660217285,0,4,1.1,15,51,15
Trade,18.20273733139038,0,4,1.1,12,51,15
Trade,18.240592002868652,0,4,1.1,16,51,15
Trade,18.281444787979126,0,4,1.1,10,51,15
Trade,18.310587406158447,0,4,1.1,17,51,15
Trade,18.36435842514038,0,4,1.1,18,51,15
Trade,18.386732578277588,0,4,1.1,13,51,15
Trade,18.458150625228882,0,4,1.1,19,51,15
Trade,18.466991662979126,0,4,1.1,11,56,15
Trade,18.487724781036377,0,4,1.1,14,51,15
Trade,18.489807844161987,0,4,1.1,15,59,15
Trade,18.522467374801636,0,4,1.1,12,58,15
Trade,18.526984691619873,0,4,1.1,16,57,15
Trade,18.555431365966797,0,4,1.1,10,51,15
Trade,18.56985855102539,0,4,1.1,17,51,15
Trade,18.602985620498657,0,4,1.1,18,51,15
Trade,18.619929313659668,0,4,1.1,13,51,15
Trade,18.66450595855713,0,4,1.1,19,51,15
Trade,18.752047061920166,0,4,1.1,11,51,15
Trade,18.754185438156128,0,4,1.1,14,55,15
Trade,18.780137538909912,0,4,1.1,15,51,15
Trade,18.81941866874695,0,4,1.1,16,51,15
Trade,18.93207859992981,0,4,1.1,12,51,15
Trade,18.95592212677002,0,4,1.1,10,51,15
Trade,18.98646831512451,0,4,1.1,17,51,15
Trade,18.990793704986572,0,4,1.1,18,56,15
Trade,19.02279543876648,0,4,1.1,13,57,15
Trade,19.029956102371216,0,4,1.1,19,51,15
Trade,19.06995439529419,0,4,1.1,36,59,15
Trade,19.078017711639404,0,4,1.1,32,51,15
Trade,19.114885091781616,0,4,1.1,30,51,15
Trade,19.187838554382324,0,4,1.1,34,58,15
Trade,19.192203760147095,0,4,1.1,31,51,15
Trade,19.239441633224487,0,4,1.1,33,51,15
Trade,19.299392461776733,0,4,1.1,38,55,15
Trade,19.301559448242188,0,4,1.1,39,51,15
Trade,19.331140995025635,0,4,1.1,37,51,15
Trade,19.366909742355347,0,4,1.1,11,51,15
Trade,19.392548084259033,0,4,1.1,14,51,15
Trade,19.434723138809204,0,4,1.1,15,51,15
Trade,19.480576753616333,0,4,1.1,35,51,15
Trade,19.492320775985718,0,4,1.1,16,51,15
Trade,19.538734436035156,0,4,1.1,12,51,15
Trade,19.581494331359863,0,4,1.1,10,51,15
Trade,19.622320890426636,0,4,1.1,17,56,15
Trade,19.625670909881592,0,4,1.1,13,57,15
Trade,19.641437292099,0,4,1.1,19,59,15
Trade,19.669829845428467,0,4,1.1,18,58,15
Trade,19.75477623939514,0,4,1.1,11,55,15
Trade,21.19141912460327,0,4,1.1,14,59,15
Trade,21.22977924346924,0,4,1.1,15,57,15
Trade,21.342448949813843,0,4,1.1,16,56,15
Trade,21.391875982284546,0,4,1.1,12,55,15
Trade,21.464368104934692,0,4,1.1,18,58,15
Trade,21.771623373031616,0,4,1.1,17,59,15
